file,coverage,evidence
.gitignore,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
AGENTS.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
CAPABILITY-MAP.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
LICENSE,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
README.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
README.zh-CN.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
THIRD_PARTY_NOTICES.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
assets/app/README.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
assets/app/icon.icns,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
assets/app/icon.png,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
assets/app/icon.svg,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/acceptance.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/agent-sdk-evaluation.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/artifact-rework-slice.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/backend-architecture.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/backend-research-2026-09-10.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/capability-management.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/commercial-licensing.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/conversation-coverage.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/deepseek-vs-pi.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/design-audit-2026-09-09.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/e05a-stable-identity.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/evidence/design-audit-2026-09-09.json,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/evidence/e01-control.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/evidence/e04a-public-replies.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/evidence/e04b-group-search.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/evidence/group-and-preview.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/evidence/m0-desktop.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/evidence/manual-sim-2026-09-12.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
